,name,lat_grid,lon_grid,view_possible
0,1. Mont Blanc (4808 m),45.8325,6.86444444,True 
1,2. Monte Rosa / Mont Rose (Dufourspitze) (4634 m),45.93694444,7.86694444,True 
2,3. Dom (4545 m),46.09388889,7.85888889,True 
3,4. Lyskamm (4533 m),45.92222222,7.83555556,True 
4,5. Weisshorn (4506 m),46.10138889,7.71583333,True 
5,6. Matterhorn / Mont Cervin (4478 m),45.97638889,7.65861111,False 
6,7. Dent Blanche (4357 m),46.03416667,7.61194444,True 
7,8. Grand Combin (4314 m),45.9375,7.29916667,True 
8,9. Finsteraarhorn (4274 m),46.53722222,8.12611111,True 
9,10. Zinalrothorn (4221 m),46.065,7.69027778,True 
10,11. Grandes Jorasses (Pte Walker) (4208 m),45.86916667,6.98833333,True 
11,12. Alphubel (4206 m),46.06305556,7.86388889,True 
12,13. Rimpfischhorn (4199 m),46.02333333,7.88416667,True 
13,14. Aletschhorn (4193 m),46.465,7.99388889,True 
14,15. Strahlhorn (4190 m),46.01333333,7.90166667,True 
15,16. Dent d'Hérens (4174 m),45.97,7.60527778,True 
16,17. Breithorn (4164 m),45.94111111,7.74888889,True 
17,18. Jungfrau (4158 m),46.53666667,7.9625,True 
18,19. Aig. Verte (4122 m),45.93472222,6.97027778,True 
19,20. Mönch (4107 m),46.55833333,7.99722222,False 
20,21. Barre des Écrins (4102 m),44.9225,6.36,True 
21,22. Schreckhorn (4078 m),46.59,8.11805556,True 
22,23. Ober Gabelhorn (4063 m),46.03861111,7.66805556,True 
23,24. Gran Paradiso / Grand Paradis (4061 m),45.51805556,7.26722222,True 
24,25. Piz Bernina (4049 m),46.38222222,9.90805556,False 
25,26. Gross Fiescherhorn (4049 m),46.55138889,8.06138889,True 
26,27. Gross Grünhorn (4044 m),46.53194444,8.07777778,True 
27,28. Weissmies (4017 m),46.12777778,8.01222222,True 
28,29. Lagginhorn (4010 m),46.15722222,8.00305556,True 
29,30. Piz Zupò (3996 m),46.36833333,9.93138889,False 
30,Fletschhorn (3985 m),46.16805556,8.00333333,True 
31,31. Gletscherhorn (3983 m),46.51277778,7.96777778,False 
32,32. Meije (3982 m),45.00472222,6.30861111,True 
33,33. Eiger (3967 m),46.5775,8.00527778,True 
34,34. Grivola (3969 m),45.59583333,7.2575,True 
35,35. Grand Cornier (3962 m),46.05194444,7.61138889,True 
36,36. Ailefroide (3954 m),44.885,6.35638889,True 
37,37. Mont Pelvoux (3943 m),44.8975,6.39666667,True 
38,38. Piz Roseg (3937 m),46.37361111,9.88305556,False 
39,39. Bietschhorn (3934 m),46.39166667,7.85083333,True 
40,40. Trugberg (3933 m),46.54666667,8.01527778,True 
41,41. Aig. de Tré la Tête (3923 m),45.79472222,6.815,True 
42,42. Pic Sans Nom (3913 m),44.89333333,6.38388889,True 
43,43. Gross Wannenhorn (3906 m),46.49388889,8.09694444,True 
44,44. Ortler (3905 m),46.50888889,10.54472222,False 
45,45. Aig. d'Argentière (3901 m),45.96,7.02,True 
46,46. Ruinette (3875 m),45.97916667,7.40027778,True 
47,47. Aig. de Triolet (3870 m),45.91666667,7.02444444,True 
48,48. Grande Casse (3855 m),45.40527778,6.82777778,True 
49,49. Königspitze / Gran Zebrù (3851 m),46.47861111,10.56833333,False 
50,50. Aig. du Midi (3842 m),45.87861111,6.8875,True 
51,51. Monviso / Monte Viso / Vísol (3841 m),44.6675,7.09083333,True 
52,52. Bouquetins (3838 m),45.98222222,7.54527778,True 
53,53. Tour Noir (3837 m),45.94888889,7.0375,True 
54,Brunegghorn (3833 m),46.12583333,7.74555556,False 
55,54. Aig. du Chardonnet (3824 m),45.96888889,7.00111111,True 
56,55. Nesthorn (3821 m),46.41333333,7.92611111,True 
57,56. Mont Dolent (3820 m),45.9225,7.04611111,True 
58,57. Aig. des Glaciers (3816 m),45.77861111,6.8025,True 
59,58. Le Râteau (3809 m),45.00083333,6.28305556,True 
60,59. Großglockner (3798 m),47.07416667,12.69444444,False 
61,60. Schinhorn (3797 m),46.45166667,7.94666667,True 
62,61. Pte de Zinal (3789 m),46.02694444,7.63055556,True 
63,62. Lauterbrunnen Breithorn (3780 m),46.47861111,7.87666667,True 
64,63. Mont Pourri (3779 m),45.52805556,6.86027778,True 
65,64. Aig. Noire de Peuterey (3774 m),45.81527778,6.89305556,False 
66,65. Wildspitze (3770 m),46.88527778,10.86722222,False 
67,66. Monte Cevedale (3769 m),46.44388889,10.61666667,False 
68,67. Grande Ruine (3765 m),44.96777778,6.32972222,True 
69,68. Aig. de Leschaux (3759 m),45.8875,7.00694444,True 
70,69. Pte de Charbonnel (3752 m),45.28027778,7.055,True 
71,70. Piz Morteratsch (3751 m),46.40277778,9.90166667,False 
72,71. Aig. de la Grande Sassière  (3747 m),45.505,7.0,True 
73,72. Weißkugel (3739 m),46.79777778,10.72638889,False 
74,73. Roche Faurio (3730 m),44.94194444,6.35805556,True 
75,74. Mont Vélan (3726 m),45.89166667,7.25166667,True 
76,75. Evêque (3716 m),45.96444444,7.50277778,True 
77,76. Combin de Corbassière  (3716 m),45.97805556,7.28055556,True 
78,77. La Singla (3714 m),45.94583333,7.47194444,True 
79,78. Wetterhörner (Mittelhorn) (3704 m),46.63527778,8.12472222,False 
80,79. Le Pleureur (3704 m),46.01638889,7.36916667,True 
81,80. Balmhorn (3698 m),46.425,7.69361111,True 
82,81. Dent Parrachée (3697 m),45.28916667,6.75638889,True 
83,82. Torre del Gran San Pietro / Tour du Grand-Saint-Pierre (3692 m),45.52583333,7.35888889,True 
84,83. Monte Disgrazia (3678 m),46.26916667,9.74944444,False 
85,84. Pta San Matteo (3678 m),46.37777778,10.56722222,False 
86,85. Uia di Ciamarella (3676 m),45.32861111,7.14527778,True 
87,86. Dent de Perroc (3676 m),46.03944444,7.52305556,True 
88,87. Dômes de Miage (3673 m),45.81555556,6.80027778,True 
89,88. Les Bans (3669 m),44.84861111,6.33666667,False 
90,89. Großvenediger (3666 m),47.10916667,12.34638889,False 
91,90. Montagne des Agneaux (3664 m),44.95027778,6.43055556,True 
92,91. Blüemlisalphorn (3661 m),46.48888889,7.7725,True 
93,92. Portjengrat: Pizzo d'Andolla (3654 m),46.10083333,8.03472222,False 
94,93. Grande Motte (3653 m),45.41138889,6.87027778,True 
95,Thurwieserspitze (3652 m),46.49527778,10.52527778,False 
96,94. Aigs Rouges d'Arolla (3644 m),46.05527778,7.43361111,True 
97,95. Ciarforon / Charforon (3640 m),45.49333333,7.24722222,True 
98,96. Doldenhorn (3638 m),46.46888889,7.73472222,True 
99,97. Albaron (3637 m),45.3325,7.10277778,True 
100,98. Dammastock (3630 m),46.64333333,8.42111111,True 
101,99. Hintere Schwärze  (3628 m),46.77333333,10.91472222,False 
102,100. Levanna Centrale (3619 m),45.41027778,7.17194444,True 
103,101. Tödi (Piz Russein) (3614 m),46.81111111,8.91472222,True 
104,102. Pte de Ronce (3612 m),45.26444444,6.97861111,True 
105,103. Les Diablons (3609 m),46.1425,7.67111111,True 
106,104. Grande Rousse / Bec de l'Invergnan (3607 m),45.56333333,7.08444444,True 
107,105. Tsanteleina (3602 m),45.47944444,7.04611111,True 
108,106. Aig. du Plat de la Selle (3596 m),44.96444444,6.22333333,False 
109,107. Piz Glüschaint (3594 m),46.3625,9.84,False 
110,108. Bessanèse (3592 m),45.30222222,7.11944444,True 
111,109. Les Rouies (3589 m),44.86444444,6.25861111,True 
112,110. Grand Roc Noir (3582 m),45.33027778,6.89194444,True 
113,111. Mont Brulé (3578 m),45.955,7.53833333,True 
114,112. Croix Rousse / Croce Rossa (3571 m),45.26055556,7.13472222,True 
115,113. Olan (3564 m),44.85944444,6.19722222,True 
116,114. Großes Wiesbachhorn (3564 m),47.15638889,12.75527778,False 
117,115. Le Plaret (3563 m),44.96861111,6.26,True 
118,116. Cime de Clot Châtel (3563 m),44.8975,6.28027778,True 
119,Ouille d'Arbéron/Pta d'Arnas (3563 m),45.27166667,7.12805556,True 
120,117. Aig. de Péclet (3562 m),45.28138889,6.62444444,True 
121,118. Tschingelhorn (3562 m),46.47861111,7.84861111,True 
122,119. Tête de l'Étret (3559 m),44.89,6.24527778,False 
123,120. Presanella (3558 m),46.22,10.66388889,False 
124,121. Monte Emilius (3557 m),45.67888889,7.38472222,True 
125,122. Aouille Tseuque (3554 m),45.93027778,7.44305556,True 
126,123. Monte Leone (3553 m),46.24944444,8.11,False 
127,124. Großer Ramolkogel (3550 m),46.84666667,10.95888889,False 
128,125. Vertainspitze (3545 m),46.53722222,10.63555556,False 
129,126. Schalfkogel (3540 m),46.80166667,10.95916667,False 
130,127. Adamello (3539 m),46.15583333,10.49611111,False 
131,128. Rocciamelone (3538 m),45.20388889,7.07694444,True 
132,Hochvernagtspitze (3535 m),46.88138889,10.79611111,False 
133,129. Watzespitze (3533 m),46.98944444,10.79555556,False 
134,Bec d'Épicoune (3531 m),45.91472222,7.4225,True 
135,130. Mont Gelé (3518 m),45.90416667,7.36611111,True 
136,131. Weißseespitze (3518 m),46.84666667,10.71722222,False 
137,132. Aig. Méridionale d'Arves (3514 m),45.12722222,6.33694444,True 
138,133. Fineilspitze (3514 m),46.78027778,10.83194444,False 
139,134. Punta Tersiva / Pointe Tersive (3513 m),45.62055556,7.47611111,True 
140,135. Hochfeiler (3509 m),46.97222222,11.72777778,False 
141,136. Zuckerhütl (3507 m),46.96444444,11.15388889,False 
142,137. Aig. de Scolette / Pierre Menue (3506 m),45.16,6.76861111,True 
143,138. M. Morion / Rion: Pointe Monro (3505 m),45.88138889,7.36777778,True 
144,Galmihorn (3505 m),46.50666667,8.185,True 
145,139. Becca di Luseney / Pic de Luseney (3503 m),45.87055556,7.49111111,True 
146,140. Sustenhorn (3503 m),46.69888889,8.45527778,False 
147,141. Dreiherrnspitze (3499 m),47.06916667,12.24083333,False 
148,142. Schrankogel (3497 m),47.04388889,11.09916667,False 
149,143. Rötspitze (3496 m),47.02694444,12.20527778,False 
150,144. Grande Traversière (3496 m),45.52305556,7.05583333,True 
151,145. Grand Nomenon (3488 m),45.61194444,7.23611111,True 
152,146. Sonnighorn / Pizzo Bottarello (3487 m),46.07416667,8.02222222,False 
153,147. Testa del Rutor (3486 m),45.63083333,7.01444444,True 
154,148. Grande Aig. Rousse (3482 m),45.43305556,7.10972222,True 
155,149. Pic de Bonvoisin (3481 m),44.82361111,6.34694444,False 
156,150. Großer Möseler (3480 m),46.9925,11.78194444,False 
157,151. Hochwilde (3480 m),46.76555556,11.02222222,False 
158,152. Olperer (3476 m),47.05305556,11.65888889,False 
159,153. Ruderhofspitze (3474 m),47.03944444,11.14333333,False 
160,154. Hinterer Seelenkogel (3472 m),46.80166667,11.04444444,False 
161,155. Grande Rousse S (Pic Bayle) (3465 m),45.13777778,6.13583333,True 
162,156. Roche de la Muzelle (3465 m),44.93111111,6.10666667,True 
163,Pic de l'Étendard (3464 m),45.15444444,6.14388889,True 
164,157. Carè Alto (3463 m),46.10805556,10.59611111,False 
165,158. Pic Garin (3462 m),45.65583333,7.3775,True 
166,159. Vordere Ölgrubenspitze (3456 m),46.90833333,10.77333333,False 
167,159. Bliggspitze (3453 m),46.91805556,10.78611111,False 
168,Johannisberg (3453 m),47.10944444,12.67277778,False 
169,161. Piz Corvatsch (3451 m),46.40833333,9.81611111,False 
170,162. Rinderhorn (3448 m),46.41361111,7.65416667,True 
171,163. Wasenhorn (3447 m),46.49805556,8.16583333,True 
172,164. Pointe de l'Aouillé (3446 m),45.52666667,7.14805556,True 
173,165. Hintere Eggenspitze / Cima Sternai (3443 m),46.47777778,10.77055556,False 
174,166. Roc du Mulinet (3442 m),45.38083333,7.16277778,True 
175,167. Sirac (3441 m),44.78972222,6.30694444,False 
176,168. Piz Tremoggia (3441 m),46.35194444,9.82194444,False 
177,169. Dosson di Genova (3441 m),46.14861111,10.55361111,False 
178,170. Truc Blanc (3440 m),45.58722222,7.16722222,True 
179,171. Cima de' Piazzi (3439 m),46.41666667,10.285,False 
180,172. Lagaunspitze (3439 m),46.73916667,10.73916667,False 
181,173. Zufrittspitze (3439 m),46.50194444,10.78222222,False 
182,174. Hochgall (3436 m),46.91083333,12.13972222,False 
183,175. Gspaltenhorn (3436 m),46.51166667,7.8275,True 
184,176. Stellihorn (3436 m),46.03638889,8.00083333,False 
185,177. Pte de la Sana (3436 m),45.385,6.91805556,True 
186,178. Verpeilspitze (3425 m),47.00333333,10.805,False 
187,179. Pte de l'Échelle (3422 m),45.26916667,6.68527778,True 
188,180. Aig. du Goleon (3422 m),45.10361111,6.32638889,True 
189,181. Aig. de l'Épéna (3421 m),45.41472222,6.81722222,True 
190,Pics du Says (3420 m),44.87388889,6.30583333,True 
191,182. Bifertenstock / Piz Durschin (3419 m),46.80444444,8.9575,True 
192,183. Piz Kesch / Piz d' Es-Cha (3418 m),46.62138889,9.87277778,False 
193,184. Sommet de Bellecôte (3417 m),45.4925,6.7825,True 
194,185. Fleckistock / Rot Stock (3416 m),46.7075,8.4975,False 
195,186. Pte du Bouchet (3416 m),45.25416667,6.60416667,True 
196,187. Aig. de Chambeyron (3412 m),44.54777778,6.85666667,True 
197,188. Piz Linard (3411 m),46.79888889,10.07166667,False 
198,189. Schrammacher (3410 m),47.02694444,11.64305556,False 
199,190. Hochfirst (3403 m),46.82666667,11.08111111,False 
200,191. Rheinwaldhorn (3402 m),46.49361111,9.04027778,False 
201,192. Aigs des Arias (3402 m),44.89555556,6.17416667,False 
202,193. Fluchthorn (3399 m),46.89083333,10.2275,False 
203,194. Piz Calderas (3397 m),46.53638889,9.69583333,False 
204,195. Großer Bärenkopf (3396 m),47.13083333,12.73166667,False 
205,196. Hohe Geige (3395 m),47.00472222,10.90861111,False 
206,197. Piz Platta (3392 m),46.48722222,9.56166667,False 
207,198. Brec de Chambeyron (3389 m),44.52805556,6.85333333,True 
208,199. Diechterhorn (3389 m),46.64861111,8.36055556,False 
209,200. Veneziaspitze / Cima Venezia (3386 m),46.45388889,10.68916667,False 
210,201. Pic Nord de la Font Sancte (3385 m),44.605,6.80027778,True 
211,202. Punta di Fontanella (3384 m),45.90611111,7.55583333,True 
212,203. Pta Sulè (3384 m),45.23138889,7.1375,True 
213,204. Rognosa d'Etiache / d'Étache (3383 m),45.13472222,6.83388889,True 
214,205. Piz Güglia / Piz Julier (3380 m),46.49111111,9.75972222,False 
215,206. Grand Tournalin (3379 m),45.87166667,7.68805556,True 
216,207. Güferhorn (3379 m),46.5125,9.06305556,False 
217,208. Cima di Castello (3379 m),46.30305556,9.67694444,False 
218,209. Großer Löffler (3379 m),47.0325,11.91583333,False 
219,210. Mont d'Ambin / Rocca d'Ambin (3378 m),45.15666667,6.88444444,True 
220,211. Cima Viola (3374 m),46.38361111,10.19638889,False 
221,212. Blinnenhorn / Corno Cieco (3374 m),46.42583333,8.30777778,True 
222,213. Hoher Eichham (3371 m),47.05388889,12.40666667,False 
223,214. Monte Confinale (3370 m),46.44944444,10.50444444,False 
224,215. Pizzo Cengalo (3369 m),46.295,9.60194444,False 
225,216. Schwarzenstein (3369 m),47.01,11.87416667,False 
226,217. Hoher Tenn (3368 m),47.17972222,12.75944444,False 
227,218. Malhamspitzen (3368 m),47.04916667,12.25944444,False 
228,219. Egginer (3367 m),46.07527778,7.93,False 
229,Innere Schwarze Schneid (3367 m),46.92416667,10.92138889,False 
230,220. Piz Fora (3363 m),46.34083333,9.78472222,False 
231,221. Hochalmspitze (3360 m),47.015,13.32111111,False 
232,222. Corno dei Tre Signori (3360 m),46.34305556,10.51555556,False 
233,Großer Geiger (3360 m),47.09305556,12.30888889,False 
234,223. Wilde Leck (3359 m),47.00277778,11.0625,False 
235,224. Schneebiger Nock / Ruthnerhorn (3358 m),46.90527778,12.08416667,False 
236,225. Grande Roise (3357 m),45.67527778,7.42305556,True 
237,226. Rofelewand (3353 m),47.0325,10.81833333,False 
238,227. Glockturm (3353 m),46.89333333,10.66555556,False 
239,228. Puitkogel (3345 m),46.98138889,10.90138889,False 
240,229. Marmolada (Pta Penia) (3343 m),46.43472222,11.85083333,False 
241,230. Bric de Rubren / Mongioia (3340 m),44.62,6.94972222,True 
242,231. Piz Ela (3339 m),46.60194444,9.7075,False 
243,232. Roteck (3337 m),46.72361111,10.98416667,False 
244,233. Pta Sommeiller (3332 m),45.12833333,6.8525,True 
245,234. Fuscherkarkopf (3331 m),47.09888889,12.74555556,False 
246,235. Corno Baitone (3330 m),46.17305556,10.44111111,False 
247,236. Mont Fort (3329 m),46.08111111,7.31861111,True 
248,237. Grande Rochère (3328 m),45.81361111,7.06138889,True 
249,238. Oberalpstock (3328 m),46.74277778,8.76944444,True 
250,239. Busazza (3326 m),46.22388889,10.61111111,False 
251,240. Tête de Lauranoure (3325 m),44.92638889,6.15194444,False 
252,241. Pizzo Scalino (3323 m),46.27861111,9.97361111,False 
253,242. Pic de Rochebrune (3320 m),44.8225,6.78777778,True 
254,243. Corno Bianco (3320 m),45.82277778,7.87916667,True 
255,244. Groabhopt / Testa Grigia / Tête grise (3315 m),45.83083333,7.78666667,True 
256,245. Mont Giusalet (3312 m),45.18055556,6.93,True 
257,246. Piz Buin (3312 m),46.84416667,10.11861111,False 
258,247. Mont Pelve (3312 m),45.35611111,6.77666667,True 
259,248. Pta Lavina (3308 m),45.55555556,7.44861111,True 
260,249. Pte de l'Aiglière (3307 m),44.81027778,6.41472222,True 
261,250. Laaser Spitze / Orgelspitze (3305 m),46.56194444,10.71777778,False 
262,251. Reichenspitze (3303 m),47.13944444,12.11083333,False 
263,252. Piz Paradisin (3302 m),46.42611111,10.11722222,False 
264,253. Pta Ramiere / Bric Froid (3302 m),44.86416667,6.93166667,True 
265,254. Becca de Tos (3301 m),45.63027778,7.10666667,True 
266,255. Verstanclahorn (3298 m),46.835,10.0725,False 
267,256. Cima Sud Argentera (3297 m),44.17805556,7.30583333,True 
268,257. Monte Sobretta (3296 m),46.3975,10.43694444,False 
269,258. Strahlkogel (3295 m),47.10916667,11.01944444,False 
270,259. Gross Schärhorn (3294 m),46.82722222,8.82916667,True 
271,260. Muttler (3293 m),46.90055556,10.37861111,False 
272,261. Grand Glaiza / Pta Merciantaira (3293 m),44.84916667,6.8825,True 
273,262. Hockenhorn (3293 m),46.42833333,7.74416667,True 
274,263. Keeskogel (3291 m),47.13638889,12.31194444,False 
275,264. Schlieferspitze (3290 m),47.1225,12.24333333,False 
276,265. M. Aig.tte / L'Asti (3287 m),44.69138889,7.02666667,True 
277,266. Petzeck (3283 m),46.94805556,12.80472222,False 
278,267. Pta di Pietra Rossa (3283 m),46.32472222,10.4375,False 
279,268. Ritzlihorn (3282 m),46.63222222,8.25888889,False 
280,269. Roter Knopf (3281 m),46.97861111,12.73944444,False 
281,270. Piz Fliana (3281 m),46.82722222,10.10861111,False 
282,271. Pta Rognosa di Sestriere (3280 m),44.93472222,6.93111111,True 
283,272. Pizzo Dosdè (3280 m),46.41,10.22583333,False 
284,273. Pizzo Tambo / Tambohorn (3279 m),46.49694444,9.28333333,False 
285,274. Hohe Weiße (3279 m),46.74555556,11.03722222,False 
286,275. Habicht (3277 m),47.04361111,11.28972222,False 
287,Gsallkopf (3277 m),47.03777778,10.805,False 
288,276. Basòdino (3272 m),46.41138889,8.46861111,True 
289,277. Helsenhorn (3272 m),46.30472222,8.19166667,True 
290,278. Pte d'Archeboc (3272 m),45.58361111,6.98027778,True 
291,279. Östliche Feuerstein (3268 m),46.97166667,11.24444444,False 
292,280. Clariden (3267 m),46.84194444,8.87138889,False 
293,281. Piz Üertsch (3267 m),46.59638889,9.83638889,False 
294,282. Antelao (3264 m),46.4525,12.26055556,False 
295,283. Scima da Saoseo (3264 m),46.38555556,10.15805556,False 
296,284. Piz Languard (3262 m),46.48833333,9.95638889,False 
297,285. Piz Forbesch (3262 m),46.52027778,9.55916667,False 
298,286. Dents du Midi: Haute Cime (3257 m),46.16111111,6.92333333,True 
299,287. Hasenöhrl (3257 m),46.54444444,10.85861111,False 
300,288. Gross Düssi / Piz Git (3256 m),46.79166667,8.8275,True 
301,289. Hocharn (3254 m),47.07611111,12.93722222,False 
302,290. Piz Tschütta / Stammerspitz (3254 m),46.90361111,10.34305556,False 
303,291. Sasseneire (3254 m),46.13861111,7.52527778,True 
304,292. Ankogel (3252 m),47.05111111,13.24916667,False 
305,293. Cavistrau / Brigelser Hörner (3252 m),46.78444444,8.97388889,True 
306,294. Rauhkofel (3251 m),47.07611111,12.09194444,False 
307,295. Großer Hornkopf (3251 m),46.96722222,12.77888889,False 
308,296. Wildhorn (3248 m),46.35583333,7.36222222,True 
309,297. Péne Blanche (3248 m),45.61888889,7.42694444,True 
310,298. Ringelspitz (3247 m),46.89833333,9.34305556,True 
311,299. Berrio Blanc (3247 m),45.75305556,6.89777778,True 
312,300. Piz Ot (3246 m),46.54333333,9.81027778,False 
313,301. Wasenhorn / Pta Terrarossa (3246 m),46.26638889,8.08555556,True 
314,302. Pta Painale (3246 m),46.25666667,9.97388889,False 
315,303. Platthorn (3246 m),46.16638889,7.86111111,False 
316,304. Tofana di Mezzo (3244 m),46.55111111,12.06555556,False 
317,305. Hohe Fürleg (3244 m),47.14166667,12.36277778,False 
318,306. Piz Bacun (3244 m),46.34222222,9.68222222,False 
319,307. Wildstrubel (3243 m),46.40027778,7.52861111,True 
320,308. Tête de Soulaure / Pic Félix Neff (3243 m),44.7625,6.415,True 
321,309. Hochschober (3242 m),46.9425,12.69833333,False 
322,310. Titlis (3238 m),46.77194444,8.43777778,False 
323,311. Grand Golliat (3238 m),45.85916667,7.10166667,True 
324,312. Becca du Merlo (3237 m),45.84388889,7.47055556,True 
325,313. Hoher Seeblaskogel (3235 m),47.09555556,11.07472222,False 
